14;16;15;17;15;23;23
14;18;16;13;16;18;31
11;20;16;13;13;21;26
12;14;18;12;15;26;21
9;7;10;8;17;23;19
6;9;10;14;14;14;25
10;12;16;17;13;16;33
12;9;13;7;19;19;19
12;6;12;11;7;15;20
25;8;21;13;9;23;23
11;9;15;11;11;17;24
12;12;16;7;7;13;18
12;14;13;11;8;9;24
12;12;8;5;9;12;22
8;12;19;11;12;18;16
9;14;12;7;23;10;18
6;9;11;11;13;19;15
11;7;7;9;14;14;8
5;11;20;8;15;11;13
11;14;14;8;7;14;13
0;11;11;13;8;14;12
11;11;11;6;10;10;17
12;11;8;14;13;19;15
0;11;0;18;11;11;13
9;9;15;4;10;12;11
9;25;7;7;8;8;15
7;9;11;7;9;13;13
12;6;5;13;10;16;11
11;9;11;7;9;9;7
14;11;14;12;12;8;8
13;11;20;7;8;11;12
23;11;7;21;11;19;13
9;16;18;18;11;6;12
13;7;20;14;9;13;13
8;10;7;9;12;15;11
7;14;11;11;5;18;0
0;0;0;0;0;11;0
0;0;0;0;0;15;0
8;0;13;0;14;12;0
15;14;12;0;24;13;0
25;16;17;24;18;11;12
13;10;12;16;16;18;15
30;29;23;22;16;16;12
20;23;17;20;28;14;8
23;27;23;29;27;17;12
42;40;43;49;51;31;19
35;40;42;34;37;25;20
47;62;38;47;47;26;15
54;42;60;58;53;29;22
48;55;54;62;64;20;15
57;58;48;55;60;15;13
75;66;59;60;63;33;17
85;86;96;78;77;27;19
98;107;93;86;94;25;6
115;108;116;106;111;30;9
101;110;121;130;113;28;15
137;139;148;141;134;25;19
121;131;157;150;119;34;13
158;160;142;125;136;27;16
133;165;172;153;161;30;14
171;151;170;164;125;32;18
158;156;167;173;179;42;19
168;167;157;182;182;42;19
163;161;171;157;139;37;19
148;145;153;144;135;52;33
149;144;172;173;132;46;32
156;139;177;153;153;45;23
145;142;155;159;157;65;29
130;148;161;157;143;37;32
152;127;154;158;159;37;16
140;155;132;141;149;55;21
163;168;163;157;146;62;22
158;133;150;172;147;56;29
171;144;115;142;126;53;38
156;159;143;127;112;66;41
135;146;146;133;114;62;34
141;145;113;145;94;60;39
136;173;150;110;120;52;38
138;166;165;124;120;64;42
131;144;146;121;114;61;41
119;144;94;158;88;69;57
106;128;158;135;99;72;49
105;107;138;139;88;70;48
97;109;154;127;90;90;47
108;107;159;119;95;76;49
89;121;125;129;80;76;46
96;83;139;89;88;76;36
95;99;84;95;96;90;59
90;69;91;89;82;94;57
77;87;76;73;89;92;64
88;94;80;91;88;82;76
91;89;86;97;84;87;63
88;93;84;72;91;82;65
78;74;102;90;83;90;63
79;77;85;70;78;76;51
84;87;88;93;75;83;68
70;89;78;74;85;100;66
96;76;78;86;67;90;54
88;74;73;90;73;88;70
83;88;96;87;88;80;76
76;70;85;92;72;94;63
89;84;82;95;79;105;62
95;89;74;72;79;88;69
78;77;100;93;103;91;78
70;94;84;78;85;101;69
85;74;93;86;99;92;72
83;87;90;76;99;108;88
71;94;81;76;86;100;66
89;97;79;76;98;96;90
75;94;92;86;90;94;68
76;89;88;84;100;92;70
85;89;86;82;87;102;58
103;88;86;98;97;113;68
81;88;94;71;119;88;74
82;96;101;93;92;91;84
86;88;108;82;107;98;64
81;99;96;95;93;92;66
82;96;95;100;97;83;57
95;84;83;96;106;86;55
88;0;89;88;90;85;68
87;81;99;91;93;79;67
88;89;105;99;103;98;58
95;110;96;108;126;105;72
107;93;110;95;111;86;78
86;104;90;108;103;81;64
104;99;89;108;120;91;79
107;103;101;123;120;85;82
83;101;104;88;107;93;84
86;101;101;108;99;96;68
89;117;99;99;139;79;70
102;90;101;108;124;78;74
126;100;89;94;122;86;74
112;107;105;106;108;76;69
118;102;116;112;98;81;68
121;126;107;121;117;74;77
105;123;115;92;114;86;66
101;108;117;116;112;79;60
117;120;121;123;105;74;62
116;107;122;128;115;74;66
119;111;130;118;117;81;74
125;121;103;112;113;94;52
113;95;113;118;98;74;67
125;112;104;132;127;85;66
116;118;122;120;95;82;71
95;121;111;125;123;75;63
107;115;102;104;109;82;65
133;113;131;116;100;72;60
134;123;130;118;101;84;72
136;129;122;129;112;92;64
127;80;122;111;115;82;80
123;105;120;109;101;89;70
112;108;109;115;98;79;62
109;142;102;115;111;84;62
121;120;108;106;110;72;66
118;123;111;111;94;79;53
100;143;95;117;94;87;61
112;140;101;107;107;79;52
106;115;108;110;98;85;67
113;106;103;115;96;71;62
89;114;95;124;101;79;52
109;105;100;117;87;79;66
81;97;90;105;91;75;45
87;86;92;88;94;0;43
102;89;101;84;95;98;58
92;95;81;94;109;75;79
71;87;100;97;97;54;50
72;83;74;70;85;82;48
69;85;81;82;74;77;67
55;76;64;67;72;77;53
68;74;65;58;69;86;53
68;65;82;70;76;69;51
69;54;82;69;68;67;54
58;67;67;62;65;71;51
60;55;65;70;92;72;63
53;77;50;62;69;66;46
53;61;66;59;63;62;44
45;65;48;53;63;57;31
51;0;55;47;52;50;45
45;75;49;56;51;61;47
39;33;33;53;63;47;29
35;49;45;29;47;46;40
41;57;41;48;60;41;29
42;41;34;46;41;35;35
43;33;32;40;42;33;23
35;40;19;42;49;33;38
32;45;33;40;52;40;30
43;43;27;31;29;32;20
32;30;36;43;33;43;27
35;29;27;40;31;31;28
33;35;40;34;53;29;31
34;34;27;41;35;28;27
28;35;33;28;40;41;26
30;26;29;37;44;37;32
20;32;36;31;32;34;18
29;33;25;33;35;26;31
21;21;25;38;37;34;17
27;29;14;24;39;23;25
16;25;27;22;32;34;21
17;24;21;24;28;25;18
35;26;28;22;24;33;15
26;27;20;17;25;29;27
12;20;26;19;28;19;11
17;36;16;20;36;29;19
17;24;27;26;23;24;19
18;12;23;16;20;28;20
13;7;7;11;14;21;11
