1;200;2;0;1;0;0;;2|3;;1
2;50;1;0;0;0;1;;;501;1
3;50;2;0;0;0;1;;;502|503;1
13;100;1;0;1;0;0;;4;;1
14;50;1;0;0;0;1;;;504;1
15;50;1;0;0;1;0;501|504;;;1
16;100;1;0;1;0;0;;17;;1
17;50;1;0;0;0;1;;;505;1
18;50;1;0;0;1;0;503|505|507;;;1
501;20;1;1;0;0;0;;;;1
502;20;2;1;0;0;0;;;;1
503;20;1;1;0;0;0;;;;1
504;20;1;1;0;0;0;;;;1
505;20;1;1;0;0;0;;;;1
506;20;2;1;0;0;0;;;;1
507;20;1;1;0;0;0;;;;1
12;50;2;0;0;1;0;506;;;1
4;150;2;0;0;0;0;502;5|6;;1
5;50;1;0;0;0;1;;;508;1
6;50;2;0;0;0;1;;;510|519;1
7;50;2;0;0;1;0;509;;;1
8;150;2;0;1;0;0;;9;;1
9;50;2;0;0;0;1;;;514|513;1
10;150;2;0;0;0;0;513;11;;1
11;50;2;0;0;0;1;;;507|506;1
19;100;1;0;1;0;0;;20;;1
20;50;1;0;0;0;1;;;511;1
21;50;1;0;0;1;0;508|511;;;1
22;100;1;0;1;0;0;;23;;1
23;50;1;0;0;0;1;;;512;1
24;50;1;0;0;1;0;511|512|514;;;1
508;20;1;1;0;0;0;;;;1
509;20;2;1;0;0;0;;;;1
510;20;1;1;0;0;0;;;;1
511;20;1;1;0;0;0;;;;1
512;20;1;1;0;0;0;;;;1
513;20;2;1;0;0;0;;;;1
514;20;1;1;0;0;0;;;;1
