what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438736906
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438750640
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438752328
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438758843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321438813968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321438814718
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321438822406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438824125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438831109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1321438831156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1321438831156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438833718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438889406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438890265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438890265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438890390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438891156
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438892312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321438896171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321438896312
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321438897953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321438935000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438937250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321438943890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1321438943937
